"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q2,Q1";"TO-92-Free-rugged";2;"BS170";;;
2;"P4";"SIL-2-LARGE_PADS";1;"OutB";;;
3;"P3";"SIL-2-LARGE_PADS";1;"InB";;;
4;"C5,C1,C3";"C1V5-LARGE_PADS";3;"10u";;;
5;"C4,C2";"C2-LARGE_PADS";2;"100n";;;
6;"R6,R3";"R3-LARGE_PADS";2;"10K";;;
7;"R4,R1,R2,R5";"R3-LARGE_PADS";4;"1.5Meg";;;
8;"P1";"SIL-2-LARGE_PADS";1;"InA";;;
9;"P2";"SIL-2-LARGE_PADS";1;"OutA";;;
10;"P3,P4";"SIL-2-LARGE_PADS";2;"CONN_2";;;
11;"P5";"SIL-2-LARGE_PADS";1;"Power";;;
